Wilayah,Longitude,Latitude,Proporsi,RLS,HLS,UHH,PPK
Selayar,120.5049,-6.287,63.34,8.36,13.77,75.75,8935
Bulukumba,120.2051,-5.4329,56.33,8.45,13.63,76.71,11514
Bantaeng,120.0203,-5.5169,59.39,7.26,12.79,74.91,10204
Jeneponto,119.6731,-5.5546,55.28,7.01,12.14,76.46,9117
Takalar,119.4876,-5.4162,55.05,7.54,12.87,76.04,7631
Gowa,119.7426,-5.3103,48.07,8.44,14.12,76.72,7229
Sinjai,120.1127,-5.2172,59.39,7.81,13.87,75.15,10117
Maros,119.6963,-5.0549,53.42,7.84,13.64,76.15,9163
Pangkep,119.5572,-4.805,60.43,8.39,13.1,75.25,10294
Barru,119.6499,-4.4364,53.74,8.72,13.87,74.81,11666
Bone,120.0665,-4.7443,56.29,7.55,13.62,75.72,8737
Soppeng,119.9278,-4.3519,62.26,8.52,13.45,76.14,10017
Wajo,120.0665,-4.0222,59.82,7.14,13.7,75.73,10517
Sidrap,120.0203,-3.7739,58.64,8.17,13.34,77.08,10989
Pinrang,119.5572,-3.6483,59.79,8.34,14.06,77.33,11455
Enrekang,119.8815,-3.4591,58.42,8.87,14.41,76.56,11439
Luwu,120.2513,-3.3052,57.58,8.68,13.81,75.8,9190
Toraja,119.7426,-3.0753,63.79,8.52,14.37,77.61,6045
Luwu Utara,119.9741,-2.269,64.96,8.2,12.61,76.28,9114
Luwu Timur,121.171,-2.5826,58.99,8.79,13.43,77.21,10006
Toraja Utara,119.8863,-2.8437,61.83,8.54,13.77,77.82,5958
Makassar,119.4327,-5.1477,47.2,11.53,16.12,78.18,14646
Pare-pare,119.6342,-4.0091,51.53,10.78,14.72,77.32,14499
Palopo,120.1993,-2.9945,50.16,11.02,15.85,76.72,13234
,,,,,,,
